submission_id,question_id,answer
56,1,Yes
56,2,Yes
56,3,Yes
56,4,Yes
56,5,Yes
56,6,No
56,7,Yes
56,8,Yes
56,9,4
57,10,Yes
57,11,Yes
57,12,No
57,13,Yes
57,14,Yes
57,15,Yes
57,16,Yes
57,17,Yes
57,18,3
57,19,New crew member trained on register today.
58,1,Yes
58,2,Yes
58,3,Yes
58,4,Yes
58,5,Yes
58,6,No
58,7,Yes
58,8,Yes
58,9,3
59,10,Yes
59,11,Yes
59,12,Yes
59,13,Yes
59,14,Yes
59,15,Yes
59,16,Yes
59,17,Yes
59,18,3
59,19,"All good, nothing to report."
60,1,Yes
60,2,Yes
60,3,Yes
60,4,Yes
60,5,Yes
60,6,Yes
60,7,Yes
60,8,No
60,9,4
61,10,Yes
61,11,Yes
61,12,No
61,13,Yes
61,14,Yes
61,15,Yes
61,16,Yes
61,17,Yes
61,18,4
61,19,"Low stock on napkins, requested restock."
62,1,Yes
62,2,Yes
62,3,Yes
62,4,Yes
62,5,No
62,6,Yes
62,7,Yes
62,8,Yes
62,9,3
63,10,No
63,11,Yes
63,12,Yes
63,13,Yes
63,14,Yes
63,15,Yes
63,16,Yes
63,17,No
63,18,3
63,19,"Minor spill in dining area, cleaned promptly."
64,1,Yes
64,2,Yes
64,3,Yes
64,4,Yes
64,5,Yes
64,6,Yes
64,7,Yes
64,8,Yes
64,9,4
65,10,Yes
65,11,Yes
65,12,Yes
65,13,Yes
65,14,Yes
65,15,Yes
65,16,Yes
65,17,Yes
65,18,4
65,19,Everything in order for tomorrow's opening.
66,1,Yes
66,2,Yes
66,3,Yes
66,4,Yes
66,5,No
66,6,Yes
66,7,Yes
66,8,Yes
66,9,4
67,10,Yes
67,11,Yes
67,12,Yes
67,13,Yes
67,14,Yes
67,15,Yes
67,16,Yes
67,17,Yes
67,18,4
67,19,New crew member trained on register today.
68,1,Yes
68,2,Yes
68,3,Yes
68,4,Yes
68,5,Yes
68,6,No
68,7,Yes
68,8,Yes
68,9,5
69,10,Yes
69,11,Yes
69,12,Yes
69,13,Yes
69,14,Yes
69,15,Yes
69,16,Yes
69,17,Yes
69,18,5
69,19,All checks completed as normal.
70,1,Yes
70,2,Yes
70,3,Yes
70,4,Yes
70,5,Yes
70,6,No
70,7,Yes
70,8,No
70,9,3
71,10,Yes
71,11,Yes
71,12,Yes
71,13,Yes
71,14,Yes
71,15,Yes
71,16,Yes
71,17,Yes
71,18,3
71,19,"Busy night, all tasks completed on time."
72,1,Yes
72,2,Yes
72,3,Yes
72,4,Yes
72,5,Yes
72,6,Yes
72,7,Yes
72,8,Yes
72,9,3
73,10,No
73,11,Yes
73,12,Yes
73,13,Yes
73,14,Yes
73,15,Yes
73,16,Yes
73,17,Yes
73,18,5
73,19,"Busy night, all tasks completed on time."
74,1,Yes
74,2,Yes
74,3,Yes
74,4,Yes
74,5,No
74,6,Yes
74,7,Yes
74,8,No
74,9,5
75,10,Yes
75,11,Yes
75,12,Yes
75,13,Yes
75,14,No
75,15,Yes
75,16,Yes
75,17,No
75,18,3
75,19,Everything in order for tomorrow's opening.
76,1,Yes
76,2,Yes
76,3,Yes
76,4,Yes
76,5,Yes
76,6,Yes
76,7,Yes
76,8,No
76,9,3
77,10,Yes
77,11,Yes
77,12,Yes
77,13,Yes
77,14,Yes
77,15,Yes
77,16,No
77,17,Yes
77,18,4
77,19,"Busy night, all tasks completed on time."
78,1,Yes
78,2,Yes
78,3,Yes
78,4,No
78,5,Yes
78,6,Yes
78,7,Yes
78,8,No
78,9,3
79,10,No
79,11,Yes
79,12,Yes
79,13,No
79,14,Yes
79,15,Yes
79,16,Yes
79,17,Yes
79,18,5
79,19,"Quiet evening, no issues."
80,1,Yes
80,2,Yes
80,3,Yes
80,4,Yes
80,5,Yes
80,6,Yes
80,7,Yes
80,8,No
80,9,2
81,10,Yes
81,11,Yes
81,12,No
81,13,Yes
81,14,Yes
81,15,Yes
81,16,No
81,17,No
81,18,4
81,19,"Quiet evening, no issues."
82,1,Yes
82,2,No
82,3,Yes
82,4,Yes
82,5,Yes
82,6,Yes
82,7,Yes
82,8,Yes
82,9,4
83,10,Yes
83,11,Yes
83,12,No
83,13,No
83,14,Yes
83,15,No
83,16,Yes
83,17,Yes
83,18,5
83,19,"Quiet evening, no issues."
84,1,Yes
84,2,Yes
84,3,Yes
84,4,Yes
84,5,Yes
84,6,Yes
84,7,Yes
84,8,Yes
84,9,4
85,10,Yes
85,11,Yes
85,12,Yes
85,13,Yes
85,14,Yes
85,15,Yes
85,16,Yes
85,17,Yes
85,18,4
85,19,"Low stock on napkins, requested restock."
86,1,Yes
86,2,Yes
86,3,Yes
86,4,Yes
86,5,Yes
86,6,Yes
86,7,Yes
86,8,No
86,9,4
87,10,No
87,11,Yes
87,12,No
87,13,Yes
87,14,Yes
87,15,Yes
87,16,Yes
87,17,Yes
87,18,4
87,19,"Busy night, all tasks completed on time."
88,1,Yes
88,2,Yes
88,3,Yes
88,4,Yes
88,5,Yes
88,6,Yes
88,7,No
88,8,No
88,9,5
89,10,No
89,11,Yes
89,12,Yes
89,13,Yes
89,14,Yes
89,15,Yes
89,16,Yes
89,17,Yes
89,18,3
89,19,Everything in order for tomorrow's opening.
90,1,Yes
90,2,Yes
90,3,Yes
90,4,No
90,5,Yes
90,6,Yes
90,7,No
90,8,Yes
90,9,5
91,10,Yes
91,11,Yes
91,12,No
91,13,No
91,14,Yes
91,15,Yes
91,16,Yes
91,17,Yes
91,18,5
91,19,"Delivery arrived late, adjusted prep schedule."
92,1,Yes
92,2,Yes
92,3,Yes
92,4,Yes
92,5,No
92,6,Yes
92,7,Yes
92,8,Yes
92,9,4
93,10,Yes
93,11,Yes
93,12,Yes
93,13,Yes
93,14,Yes
93,15,Yes
93,16,Yes
93,17,Yes
93,18,4
93,19,"Busy night, all tasks completed on time."
94,1,Yes
94,2,Yes
94,3,No
94,4,Yes
94,5,Yes
94,6,Yes
94,7,Yes
94,8,Yes
94,9,3
95,10,Yes
95,11,Yes
95,12,Yes
95,13,Yes
95,14,Yes
95,15,Yes
95,16,Yes
95,17,Yes
95,18,5
95,19,New crew member trained on register today.
96,1,Yes
96,2,Yes
96,3,No
96,4,No
96,5,Yes
96,6,Yes
96,7,Yes
96,8,No
96,9,4
97,10,Yes
97,11,Yes
97,12,Yes
97,13,Yes
97,14,Yes
97,15,Yes
97,16,Yes
97,17,No
97,18,4
97,19,"Delivery arrived late, adjusted prep schedule."
98,1,Yes
98,2,Yes
98,3,Yes
98,4,Yes
98,5,Yes
98,6,Yes
98,7,Yes
98,8,Yes
98,9,5
99,1,Yes
99,2,Yes
99,3,Yes
99,4,Yes
99,5,No
99,6,Yes
99,7,Yes
99,8,Yes
99,9,2
100,10,Yes
100,11,Yes
100,12,Yes
100,13,No
100,14,Yes
100,15,Yes
100,16,Yes
100,17,Yes
100,18,3
100,19,All checks completed as normal.
101,1,Yes
101,2,Yes
101,3,Yes
101,4,Yes
101,5,Yes
101,6,Yes
101,7,Yes
101,8,No
101,9,4
102,10,Yes
102,11,Yes
102,12,No
102,13,Yes
102,14,Yes
102,15,Yes
102,16,Yes
102,17,Yes
102,18,4
102,19,New crew member trained on register today.
103,1,Yes
103,2,Yes
103,3,Yes
103,4,Yes
103,5,Yes
103,6,Yes
103,7,Yes
103,8,Yes
103,9,3
104,10,Yes
104,11,Yes
104,12,Yes
104,13,Yes
104,14,Yes
104,15,Yes
104,16,Yes
104,17,Yes
104,18,4
104,19,"Busy night, all tasks completed on time."
105,1,Yes
105,2,Yes
105,3,Yes
105,4,Yes
105,5,Yes
105,6,No
105,7,Yes
105,8,Yes
105,9,1
106,10,Yes
106,11,Yes
106,12,Yes
106,13,Yes
106,14,Yes
106,15,Yes
106,16,Yes
106,17,Yes
106,18,3
106,19,"All good, nothing to report."
107,1,Yes
107,2,Yes
107,3,Yes
107,4,Yes
107,5,Yes
107,6,Yes
107,7,Yes
107,8,No
107,9,4
108,10,Yes
108,11,Yes
108,12,Yes
108,13,Yes
108,14,No
108,15,Yes
108,16,Yes
108,17,Yes
108,18,3
108,19,"All good, nothing to report."
109,1,Yes
109,2,Yes
109,3,Yes
109,4,Yes
109,5,No
109,6,Yes
109,7,Yes
109,8,Yes
109,9,5
110,10,No
110,11,Yes
110,12,Yes
110,13,No
110,14,Yes
110,15,Yes
110,16,No
110,17,Yes
110,18,3
110,19,"Minor spill in dining area, cleaned promptly."
111,1,Yes
111,2,No
111,3,Yes
111,4,Yes
111,5,Yes
111,6,Yes
111,7,Yes
111,8,Yes
111,9,4
112,10,Yes
112,11,Yes
112,12,Yes
112,13,Yes
112,14,Yes
112,15,Yes
112,16,Yes
112,17,Yes
112,18,2
112,19,"Quiet evening, no issues."
113,1,Yes
113,2,No
113,3,Yes
113,4,Yes
113,5,Yes
113,6,Yes
113,7,Yes
113,8,Yes
113,9,4
114,10,Yes
114,11,Yes
114,12,Yes
114,13,Yes
114,14,Yes
114,15,Yes
114,16,Yes
114,17,No
114,18,5
114,19,"Delivery arrived late, adjusted prep schedule."
115,1,Yes
115,2,Yes
115,3,Yes
115,4,Yes
115,5,No
115,6,Yes
115,7,Yes
115,8,Yes
115,9,4
116,10,Yes
116,11,No
116,12,Yes
116,13,Yes
116,14,Yes
116,15,Yes
116,16,No
116,17,Yes
116,18,4
116,19,"Quiet evening, no issues."
117,1,Yes
117,2,Yes
117,3,Yes
117,4,No
117,5,Yes
117,6,Yes
117,7,Yes
117,8,Yes
117,9,4
118,10,Yes
118,11,Yes
118,12,Yes
118,13,Yes
118,14,Yes
118,15,Yes
118,16,Yes
118,17,No
118,18,4
118,19,Slight delay in closing due to late customers.
119,1,No
119,2,Yes
119,3,Yes
119,4,Yes
119,5,Yes
119,6,Yes
119,7,Yes
119,8,Yes
119,9,3
120,10,No
120,11,No
120,12,Yes
120,13,Yes
120,14,Yes
120,15,Yes
120,16,Yes
120,17,Yes
120,18,4
120,19,Everything in order for tomorrow's opening.
121,1,No
121,2,Yes
121,3,Yes
121,4,No
121,5,Yes
121,6,No
121,7,Yes
121,8,Yes
121,9,4
122,10,Yes
122,11,Yes
122,12,No
122,13,Yes
122,14,Yes
122,15,Yes
122,16,Yes
122,17,Yes
122,18,5
122,19,"Quiet evening, no issues."
123,1,Yes
123,2,No
123,3,No
123,4,Yes
123,5,No
123,6,Yes
123,7,Yes
123,8,Yes
123,9,3
124,10,Yes
124,11,Yes
124,12,Yes
124,13,Yes
124,14,Yes
124,15,Yes
124,16,Yes
124,17,Yes
124,18,4
124,19,All checks completed as normal.
125,1,Yes
125,2,No
125,3,No
125,4,Yes
125,5,Yes
125,6,Yes
125,7,Yes
125,8,Yes
125,9,3
126,10,Yes
126,11,No
126,12,Yes
126,13,Yes
126,14,Yes
126,15,Yes
126,16,Yes
126,17,Yes
126,18,3
126,19,"Busy night, all tasks completed on time."
127,1,Yes
127,2,Yes
127,3,Yes
127,4,Yes
127,5,Yes
127,6,Yes
127,7,Yes
127,8,Yes
127,9,4
128,10,Yes
128,11,Yes
128,12,Yes
128,13,Yes
128,14,Yes
128,15,Yes
128,16,Yes
128,17,Yes
128,18,3
128,19,"Quiet evening, no issues."
129,1,Yes
129,2,Yes
129,3,Yes
129,4,Yes
129,5,Yes
129,6,Yes
129,7,Yes
129,8,Yes
129,9,5
130,10,Yes
130,11,Yes
130,12,Yes
130,13,No
130,14,Yes
130,15,Yes
130,16,Yes
130,17,Yes
130,18,3
130,19,New crew member trained on register today.
131,1,Yes
131,2,Yes
131,3,Yes
131,4,Yes
131,5,No
131,6,No
131,7,Yes
131,8,Yes
131,9,5
132,10,Yes
132,11,Yes
132,12,Yes
132,13,No
132,14,Yes
132,15,No
132,16,Yes
132,17,Yes
132,18,4
132,19,"Minor spill in dining area, cleaned promptly."
133,1,No
133,2,Yes
133,3,Yes
133,4,Yes
133,5,Yes
133,6,No
133,7,Yes
133,8,Yes
133,9,4
134,10,Yes
134,11,Yes
134,12,Yes
134,13,Yes
134,14,Yes
134,15,No
134,16,Yes
134,17,Yes
134,18,4
134,19,"Busy night, all tasks completed on time."
135,1,Yes
135,2,Yes
135,3,No
135,4,Yes
135,5,Yes
135,6,Yes
135,7,Yes
135,8,Yes
135,9,4
136,10,Yes
136,11,Yes
136,12,No
136,13,Yes
136,14,Yes
136,15,Yes
136,16,Yes
136,17,Yes
136,18,5
136,19,"All good, nothing to report."
137,1,Yes
137,2,No
137,3,Yes
137,4,Yes
137,5,No
137,6,Yes
137,7,Yes
137,8,Yes
137,9,4
138,10,Yes
138,11,Yes
138,12,Yes
138,13,Yes
138,14,Yes
138,15,Yes
138,16,Yes
138,17,Yes
138,18,5
138,19,Slight delay in closing due to late customers.
139,1,No
139,2,Yes
139,3,No
139,4,Yes
139,5,Yes
139,6,Yes
139,7,Yes
139,8,Yes
139,9,3
140,10,Yes
140,11,No
140,12,Yes
140,13,Yes
140,14,Yes
140,15,Yes
140,16,Yes
140,17,Yes
140,18,4
140,19,Slight delay in closing due to late customers.
141,1,Yes
141,2,No
141,3,Yes
141,4,Yes
141,5,Yes
141,6,Yes
141,7,Yes
141,8,Yes
141,9,5
142,10,Yes
142,11,No
142,12,Yes
142,13,No
142,14,Yes
142,15,Yes
142,16,Yes
142,17,Yes
142,18,4
142,19,All checks completed as normal.
143,1,Yes
143,2,Yes
143,3,No
143,4,Yes
143,5,Yes
143,6,Yes
143,7,Yes
143,8,Yes
143,9,2
144,10,Yes
144,11,Yes
144,12,Yes
144,13,No
144,14,Yes
144,15,Yes
144,16,Yes
144,17,Yes
144,18,4
144,19,New crew member trained on register today.
145,1,No
145,2,Yes
145,3,Yes
145,4,Yes
145,5,Yes
145,6,Yes
145,7,Yes
145,8,No
145,9,4
146,10,Yes
146,11,Yes
146,12,Yes
146,13,Yes
146,14,Yes
146,15,Yes
146,16,Yes
146,17,Yes
146,18,4
146,19,"Quiet evening, no issues."
147,1,Yes
147,2,Yes
147,3,Yes
147,4,Yes
147,5,Yes
147,6,Yes
147,7,No
147,8,Yes
147,9,5
148,10,Yes
148,11,Yes
148,12,Yes
148,13,No
148,14,No
148,15,Yes
148,16,Yes
148,17,Yes
148,18,3
148,19,"Minor spill in dining area, cleaned promptly."
149,1,Yes
149,2,Yes
149,3,Yes
149,4,Yes
149,5,No
149,6,Yes
149,7,Yes
149,8,Yes
149,9,5
150,1,No
150,2,Yes
150,3,Yes
150,4,Yes
150,5,No
150,6,No
150,7,Yes
150,8,No
150,9,5
151,10,Yes
151,11,Yes
151,12,No
151,13,Yes
151,14,No
151,15,Yes
151,16,Yes
151,17,Yes
151,18,4
151,19,"Minor spill in dining area, cleaned promptly."
152,1,Yes
152,2,Yes
152,3,Yes
152,4,Yes
152,5,Yes
152,6,Yes
152,7,Yes
152,8,Yes
152,9,5
153,10,Yes
153,11,Yes
153,12,Yes
153,13,Yes
153,14,Yes
153,15,Yes
153,16,No
153,17,Yes
153,18,3
153,19,Everything in order for tomorrow's opening.
154,1,Yes
154,2,Yes
154,3,Yes
154,4,Yes
154,5,No
154,6,Yes
154,7,Yes
154,8,Yes
154,9,5
155,10,Yes
155,11,Yes
155,12,No
155,13,Yes
155,14,Yes
155,15,Yes
155,16,Yes
155,17,Yes
155,18,3
155,19,"Minor spill in dining area, cleaned promptly."
156,1,Yes
156,2,Yes
156,3,Yes
156,4,Yes
156,5,Yes
156,6,Yes
156,7,Yes
156,8,Yes
156,9,3
157,10,Yes
157,11,Yes
157,12,Yes
157,13,Yes
157,14,No
157,15,Yes
157,16,Yes
157,17,Yes
157,18,4
157,19,"Minor spill in dining area, cleaned promptly."
158,1,Yes
158,2,No
158,3,Yes
158,4,Yes
158,5,Yes
158,6,Yes
158,7,Yes
158,8,Yes
158,9,4
159,10,Yes
159,11,Yes
159,12,Yes
159,13,Yes
159,14,Yes
159,15,Yes
159,16,Yes
159,17,Yes
159,18,3
159,19,"Low stock on napkins, requested restock."
160,1,No
160,2,No
160,3,Yes
160,4,Yes
160,5,Yes
160,6,Yes
160,7,Yes
160,8,Yes
160,9,4
161,10,Yes
161,11,No
161,12,Yes
161,13,Yes
161,14,Yes
161,15,Yes
161,16,Yes
161,17,No
161,18,4
161,19,"Minor spill in dining area, cleaned promptly."
162,1,Yes
162,2,No
162,3,Yes
162,4,Yes
162,5,Yes
162,6,Yes
162,7,No
162,8,Yes
162,9,5
163,10,Yes
163,11,No
163,12,Yes
163,13,Yes
163,14,Yes
163,15,Yes
163,16,Yes
163,17,Yes
163,18,2
163,19,"Low stock on napkins, requested restock."
164,1,Yes
164,2,Yes
164,3,Yes
164,4,Yes
164,5,Yes
164,6,Yes
164,7,Yes
164,8,Yes
164,9,5
165,10,Yes
165,11,Yes
165,12,No
165,13,Yes
165,14,Yes
165,15,Yes
165,16,Yes
165,17,Yes
165,18,4
165,19,New crew member trained on register today.
166,1,Yes
166,2,Yes
166,3,Yes
166,4,No
166,5,Yes
166,6,Yes
166,7,Yes
166,8,Yes
166,9,4
167,10,Yes
167,11,Yes
167,12,Yes
167,13,Yes
167,14,Yes
167,15,Yes
167,16,Yes
167,17,Yes
167,18,4
167,19,"Quiet evening, no issues."
168,1,Yes
168,2,No
168,3,Yes
168,4,Yes
168,5,Yes
168,6,Yes
168,7,Yes
168,8,Yes
168,9,5
169,10,No
169,11,Yes
169,12,Yes
169,13,Yes
169,14,Yes
169,15,Yes
169,16,No
169,17,No
169,18,4
169,19,"Delivery arrived late, adjusted prep schedule."
170,1,No
170,2,Yes
170,3,Yes
170,4,Yes
170,5,Yes
170,6,Yes
170,7,Yes
170,8,Yes
170,9,4
171,10,Yes
171,11,No
171,12,Yes
171,13,Yes
171,14,Yes
171,15,No
171,16,No
171,17,Yes
171,18,5
171,19,New crew member trained on register today.
172,1,Yes
172,2,Yes
172,3,No
172,4,Yes
172,5,Yes
172,6,Yes
172,7,Yes
172,8,No
172,9,3
173,1,Yes
173,2,Yes
173,3,Yes
173,4,Yes
173,5,Yes
173,6,Yes
173,7,Yes
173,8,No
173,9,4
174,10,Yes
174,11,Yes
174,12,Yes
174,13,Yes
174,14,Yes
174,15,Yes
174,16,No
174,17,Yes
174,18,4
174,19,Everything in order for tomorrow's opening.
175,1,Yes
175,2,Yes
175,3,Yes
175,4,Yes
175,5,Yes
175,6,Yes
175,7,Yes
175,8,Yes
175,9,5
176,10,Yes
176,11,Yes
176,12,Yes
176,13,Yes
176,14,Yes
176,15,Yes
176,16,No
176,17,Yes
176,18,4
176,19,"Low stock on napkins, requested restock."
177,1,Yes
177,2,Yes
177,3,Yes
177,4,Yes
177,5,Yes
177,6,Yes
177,7,Yes
177,8,Yes
177,9,2
178,10,Yes
178,11,Yes
178,12,Yes
178,13,Yes
178,14,Yes
178,15,Yes
178,16,No
178,17,Yes
178,18,4
178,19,"Minor spill in dining area, cleaned promptly."
179,1,Yes
179,2,Yes
179,3,Yes
179,4,Yes
179,5,Yes
179,6,Yes
179,7,Yes
179,8,Yes
179,9,4
180,10,Yes
180,11,No
180,12,Yes
180,13,No
180,14,Yes
180,15,Yes
180,16,Yes
180,17,Yes
180,18,3
180,19,"Busy night, all tasks completed on time."
181,1,Yes
181,2,Yes
181,3,Yes
181,4,Yes
181,5,Yes
181,6,Yes
181,7,Yes
181,8,Yes
181,9,3
182,10,Yes
182,11,No
182,12,Yes
182,13,Yes
182,14,Yes
182,15,No
